oyuncu,takim,tum_takimlar,transfer,mac_sayisi,ilk11_mac,yedek_mac,gol_sayisi,gol_ayak,gol_kafa,penalti_gol,gol_ort,sari_kart,kirmizi_kart,toplam_dakika
EBRAR ULUHANLI,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,3,3,0,0,0,0,0,0.0,0,0,260
HIVA ETEMADINASAB,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,3,2,1,0,0,0,0,0.0,0,0,190
KEZBAN YORĞA,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,3,0,3,0,0,0,0,0.0,0,0,77
AHLAM HATAB,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,3,3,0,0,0,0,0,0.0,2,0,232
ELİF GÖRMEZ,SERCAN İNŞAAT GAZİANTEP ALG SPOR,SERCAN İNŞAAT GAZİANTEP ALG SPOR,False,3,3,0,0,0,0,0,0.0,0,0,256
SENEM PINAR ÖZER,FATİH VATAN SPOR,FATİH VATAN SPOR,False,3,2,1,0,0,0,0,0.0,0,0,181
TUANA DEMİRBAŞ,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,3,2,1,0,0,0,0,0.0,0,0,205
ÖZLEM ALİOSMANOĞLU,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,3,0,3,0,0,0,0,0.0,0,0,26
EZGİ KILIÇ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,3,0,3,0,0,0,0,0.0,0,0,60
ESMA SULTAN ÇELİK,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,3,2,1,0,0,0,0,0.0,0,0,193
ASYA BAYRAKTAR,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,3,1,2,0,0,0,0,0.0,0,0,108
ZEYNEP IRMAK ÖLMEZER,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,2,0,2,1,1,0,0,0.5,0,0,55
ÇİMEN ERDİN,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,2,0,2,1,0,0,1,0.5,0,0,69
NARİN YAKUT,GALATASARAY GAIN,GALATASARAY GAIN,False,2,1,1,0,0,0,0,0.0,0,0,74
GİZEM YAZICI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,2,2,0,0,0,0,0,0.0,0,0,123
ABIGAIL PAOLA CHAVES,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,2,2,0,0,0,0,0,0.0,1,0,180
CEYDA ÖZKAN,ALG SPOR,ALG SPOR / GAZİANTEP ALG SPOR KULÜBÜ,True,2,2,0,0,0,0,0,0.0,0,0,180
IMAN DUMANJIC,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,2,1,1,0,0,0,0,0.0,0,0,144
ÖZGE OĞURGÜL,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,2,0,2,0,0,0,0,0.0,0,0,46
DİLARA KOCABAĞ,GAZİANTEP ALG SPOR KULÜBÜ,GAZİANTEP ALG SPOR KULÜBÜ,False,2,2,0,0,0,0,0,0.0,1,0,180
ANDREA GURTNER,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,2,1,1,0,0,0,0,0.0,0,0,112
ELİF CEREN MUTLU,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,2,0,2,0,0,0,0,0.0,0,0,67
DIAKIESE KALUZODI ISABELLE,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,2,0,2,0,0,0,0,0.0,0,0,31
HİCRAN AKDOĞAN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,2,0,2,0,0,0,0,0.0,0,0,36
IRMAK AKBUDAK,FATİH VATAN SPOR,FATİH VATAN SPOR,False,2,0,2,0,0,0,0,0.0,0,0,3
DİLARA YÜKSEL,FATİH VATAN SPOR,FATİH VATAN SPOR,False,2,0,2,0,0,0,0,0.0,0,0,2
