oyuncu,takim,tum_takimlar,transfer,mac_sayisi,ilk11_mac,yedek_mac,gol_sayisi,gol_ayak,gol_kafa,penalti_gol,gol_ort,sari_kart,kirmizi_kart,toplam_dakika
HEIDI LYNNE RUTH,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,22,22,0,2,0,2,0,0.09,3,0,1920
RAFAELA SUDRE DOS SANTOS,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,22,21,1,2,2,0,0,0.09,2,0,1850
NEHİR ZEYTÜNLÜ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,22,12,10,2,1,1,0,0.09,1,0,1177
MAIKO BEBIA,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,22,18,4,1,1,0,0,0.05,3,0,1513
VIVIAN NASAKA MAKOKHA,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,22,19,3,1,1,0,0,0.05,3,0,1691
FATMA KARA,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,22,22,0,1,1,0,0,0.05,4,0,1875
RABİYA İSGİ,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,22,20,2,1,1,0,0,0.05,3,0,1755
YELİZ AÇAR,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,22,21,1,1,1,0,0,0.05,1,0,1870
SILA BESRA TETİK,FATİH VATAN SPOR,FATİH VATAN SPOR / PROLİFT GİRESUN SANAYİSPOR,True,22,20,2,0,0,0,0,0.0,2,0,1754
AYTAJ SHARIFOVA,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,22,22,0,0,0,0,0,0.0,2,0,1972
MERVE ODABAŞOĞLU,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,22,22,0,0,0,0,0,0.0,1,0,1950
OLHA OVDIYCHUK,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,21,18,3,8,7,1,0,0.38,0,0,1574
ARZU KARABULUT,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,21,14,7,8,6,2,0,0.38,2,0,1307
KONYA TAJAE PLUMMER,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,21,20,1,5,4,1,0,0.24,4,0,1849
KALTRINA BIQKAJ,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,21,16,5,5,4,1,0,0.24,1,0,1237
İNAYET FUNDA ALTINKAYA,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR / ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,21,13,8,5,4,1,0,0.24,2,0,1204
BUKET KARADAĞ,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ / HAKKARİGÜCÜ SPOR,True,21,14,7,4,4,0,0,0.19,0,0,1242
OLUWATOSIN BLESSING DEMEHIN,GALATASARAY GAIN,GALATASARAY GAIN,False,21,21,0,1,1,0,0,0.05,4,1,1787
BEYZA KOCATÜRK,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,21,19,2,1,1,0,0,0.05,0,0,1385
DERYA ARHAN,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,21,20,1,1,1,0,0,0.05,5,0,1808
SHKURTE MALIQI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,21,21,0,1,1,0,0,0.05,2,1,1872
ILARJA ZARKA,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,21,21,0,1,0,1,0,0.05,4,0,1734
MERTHA TEMBO,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,21,21,0,1,1,0,0,0.05,5,0,1865
KARLA DANIELA ZEMPOALTECA HERNANDEZ,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,21,21,0,1,0,1,0,0.05,3,0,1854
MERYEM SEVENT,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,21,17,4,1,1,0,0,0.05,1,0,1401
VUSALA HACIYEVA,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,21,12,9,0,0,0,0,0.0,2,0,1191
MARIGONE TAHIRI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,21,19,2,0,0,0,0,0.0,6,0,1654
NAGEHAN AKŞAN,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,21,19,2,0,0,0,0,0.0,6,0,1610
GAMZE NUR YAMAN,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,21,21,0,0,0,0,0,0.0,1,0,1846
İSMİGÜL YALÇINER,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,21,20,1,0,0,0,0,0.0,2,0,1850
MARIEM HOUIJ,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,20,19,1,19,12,3,4,0.95,3,0,1640
NGO MBELECK GENEVIEVE EDITH,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,20,17,3,19,18,1,0,0.95,2,0,1245
YAĞMUR URAZ,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,20,6,14,16,12,4,0,0.8,1,0,727
ZEYNEP GAMZE KOÇER,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR / FATİH VATAN SPOR,True,20,18,2,4,2,0,2,0.2,1,0,1622
TEODORA NICOARA,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,20,20,0,4,3,0,1,0.2,4,0,1661
JUANITA AGUADZE,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,20,2,18,3,3,0,0,0.15,2,0,438
İLAYDA CİVELEK,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,20,19,1,3,2,1,0,0.15,3,0,1671
RABİA NUR KÜÇÜK,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,20,16,4,2,2,0,0,0.1,5,0,1501
NIKOLINA MİLOVİC,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,20,17,3,1,1,0,0,0.05,3,0,1496
BENAN ALTINTAŞ,GALATASARAY GAIN,GALATASARAY GAIN,False,20,8,12,1,0,1,0,0.05,4,0,841
ELİF KESKİN,GALATASARAY GAIN,GALATASARAY GAIN,False,20,19,1,0,0,0,0,0.0,2,0,1559
SUDE TOPÇU,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,20,19,1,0,0,0,0,0.0,1,0,1642
SEVİNC FAYIL QIZI JAFARZADE,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,20,17,3,0,0,0,0,0.0,7,0,1576
FLORENTİNA KOLGECİ,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,20,20,0,0,0,0,0,0.0,1,0,1754
BEATRIZ BUENO NICOLETI,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,20,20,0,0,0,0,0,0.0,1,0,1771
SUZIE MBİANDJİ,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,20,13,7,0,0,0,0,0.0,2,0,1167
ELIZABETH OWUSUAA,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,19,19,0,13,9,3,1,0.68,6,1,1702
ESRA MANYA,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,19,14,5,9,6,3,0,0.47,2,0,1376
FREDRICA TORKUDZOR,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,19,13,6,5,4,1,0,0.26,3,0,1321
LINA FERNANDE MARTINEZ ALVAREZ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,19,18,1,4,4,0,0,0.21,4,0,1619
ECEMNUR ÖZTÜRK,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,19,7,12,3,2,1,0,0.16,3,0,730
ALEYNA MERAL,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,19,8,11,2,2,0,0,0.11,1,0,857
MERYEM KÜÇÜKBİRİNCİ,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,19,19,0,2,2,0,0,0.11,6,1,1710
ELİF KESGİN,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR / PROLİFT GİRESUN SANAYİSPOR,True,19,17,2,2,2,0,0,0.11,4,0,1309
NAZLI ÖRNEK,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR / FATİH VATAN SPOR,True,19,16,3,2,1,1,0,0.11,2,0,1433
DİDEM KARAGENÇ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,19,13,6,2,2,0,0,0.11,0,0,1070
RREZONA RAMADANI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,19,18,1,2,2,0,0,0.11,3,0,1644
ÇİĞDEM BELCİ,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,19,19,0,1,1,0,0,0.05,1,0,1639
AYŞE DEMİRCİ,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,19,12,7,1,0,1,0,0.05,0,0,1146
ECEM CUMERT,GALATASARAY GAIN,GALATASARAY GAIN,False,19,17,2,1,1,0,0,0.05,3,0,1354
İLAYDA ATÇI,SERCAN İNŞAAT GAZİANTEP ALG SPOR,SERCAN İNŞAAT GAZİANTEP ALG SPOR / FATİH VATAN SPOR / ALG SPOR / GAZİANTEP ALG SPOR KULÜBÜ,True,19,15,4,1,1,0,0,0.05,1,0,1340
ÖZGE ŞENGEL,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,19,16,3,0,0,0,0,0.0,6,1,1447
AGNESA GASHI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,19,19,0,0,0,0,0,0.0,5,2,1686
GÜLBİN HIZ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI / ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,True,19,18,1,0,0,0,0,0.0,2,0,1557
YAĞMUR FATMANUR OCAK,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,19,9,10,0,0,0,0,0.0,1,0,874
MARIA PAULA SALAS ZUNIGA,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,18,10,8,15,14,1,0,0.83,1,0,891
UGOCHI CYNTHIA EMENAYO,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,18,16,2,2,2,0,0,0.11,2,1,1499
BAHAR KOL,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR / YÜKSEKOVA SPOR KULÜBÜ,True,18,11,7,2,1,0,1,0.11,3,0,969
BERRA BAYRAKTAR,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,18,6,12,2,1,1,0,0.11,1,0,741
SEDA NUR İNCİK,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,18,7,11,2,2,0,0,0.11,1,0,814
JACKLINE ADONG,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,18,18,0,2,1,1,0,0.11,4,0,1562
AMIRA OULD BRAHAM,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,18,9,9,2,2,0,0,0.11,4,0,989
DİLARA YILMAZ,FATİH VATAN SPOR,FATİH VATAN SPOR / ÇEKMEKÖY BİLGİDOĞA,True,18,12,6,1,1,0,0,0.06,1,1,1025
FATMA ATAŞ,FATİH VATAN SPOR,FATİH VATAN SPOR / PROLİFT GİRESUN SANAYİSPOR,True,18,10,8,1,0,0,1,0.06,4,0,923
AYŞE NUR SERT,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,18,12,6,1,1,0,0,0.06,3,0,1209
PAULA RUESS,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,18,17,1,1,1,0,0,0.06,4,1,1457
BLERTA SMAILI,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,18,14,4,1,1,0,0,0.06,3,0,1252
BAHAR GÜVENÇ MAVİ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,18,17,1,1,0,1,0,0.06,0,0,1453
SELİN SİVRİKAYA,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,18,15,3,0,0,0,0,0.0,4,0,1475
FATMA KILINÇ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,18,9,9,0,0,0,0,0.0,0,0,886
SEVİLAY DUMAN,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,18,14,4,0,0,0,0,0.0,2,0,1320
ÜMRAN ÖZEV,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,18,15,3,0,0,0,0,0.0,1,0,1266
FERDA İPEK ÇEVİK,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,18,11,7,0,0,0,0,0.0,1,0,991
ARMISA KUÇ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,17,15,2,13,9,4,0,0.76,1,0,1405
BİRGÜL SADIKOĞLU,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,17,13,4,7,5,2,0,0.41,0,0,1194
ZEYNEP KERİMOĞLU,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,17,0,17,7,7,0,0,0.41,2,0,454
SEVGİ ÇINAR KARAOĞLU,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,17,10,7,6,3,3,0,0.35,3,0,804
MELİKE ÖZTÜRK,GALATASARAY GAIN,GALATASARAY GAIN,False,17,9,8,4,3,1,0,0.24,4,0,724
BAŞAK İÇİNÖZBEBEK,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,17,14,3,3,1,2,0,0.18,4,0,983
AZRA TIRAŞ,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ / TRABZONSPOR A.Ş.,True,17,3,14,2,0,2,0,0.12,2,0,510
OLİVİA İNALÖZ,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,17,13,4,1,0,1,0,0.06,1,0,1293
ECE TEKMEN,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,17,17,0,1,1,0,0,0.06,1,0,1406
ŞEFİKA ÖZ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,17,10,7,0,0,0,0,0.0,0,0,854
FİDAN JAFAROVA,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,17,12,5,0,0,0,0,0.0,3,0,1035
SELDA AKGÖZ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,17,17,0,0,0,0,0,0.0,0,0,1530
BERNA YENİÇERİ,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,17,15,2,0,0,0,0,0.0,2,0,1243
RABİYA KARAGÜL,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,17,8,9,0,0,0,0,0.0,3,0,698
FATOU DAO,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,16,13,3,1,1,0,0,0.06,3,0,1176
ANGEL KEZIAH ESHIRENDAH MUKASA,GALATASARAY GAIN,GALATASARAY GAIN,False,16,16,0,0,0,0,0,0.0,0,0,1440
NAZMİYE AYTOP,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,16,16,0,0,0,0,0,0.0,1,0,1264
SEVGİ SEVİN ERGEN,HAKKARİGÜCÜ SPOR,HAKKARİGÜCÜ SPOR,False,16,10,6,0,0,0,0,0.0,6,0,1060
ARİFE ŞENTÜRK,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,16,0,16,0,0,0,0,0.0,0,0,274
SÜHEYLA ÇALÇINAR,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,16,15,1,0,0,0,0,0.0,3,0,1301
LIUBOV SHMATKO,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,15,12,3,1,1,0,0,0.07,2,0,1056
KAFAYAT FOLAKEMI SHITTU,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,15,13,2,0,0,0,0,0.0,1,0,1216
EZGİ ÇAĞLAR,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,15,15,0,0,0,0,0,0.0,2,0,1350
ZERDA TAŞCI,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR / 1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,True,15,13,2,0,0,0,0,0.0,0,0,1180
JALE AĞAYAR QIZIZHALA MAHSIMOVA,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,15,15,0,0,0,0,0,0.0,2,1,1306
TÜLİN BALUR,FATİH VATAN SPOR,FATİH VATAN SPOR,False,15,10,5,0,0,0,0,0.0,0,0,974
VALENTINA GIACINTI,GALATASARAY GAIN,GALATASARAY GAIN,False,14,12,2,14,13,1,0,1.0,1,0,967
MELİKE PEKEL,GALATASARAY GAIN,GALATASARAY GAIN,False,14,7,7,5,5,0,0,0.36,0,0,756
AZRA ARDOS,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,14,4,10,5,5,0,0,0.36,2,0,564
GEORGINA AYISHA AOYEM,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,14,6,8,3,3,0,0,0.21,0,0,530
SARAH YASONGAMO MAKANDA,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,14,13,1,2,2,0,0,0.14,2,0,1188
LETAGO MADIBA,YÜKSEKOVA SPOR KULÜBÜ,YÜKSEKOVA SPOR KULÜBÜ,False,14,4,10,1,1,0,0,0.07,0,0,427
NİLAY GÜRELER,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / ŞİLE BİLGİDOĞA SPORTİF YATIRIM HİZMETLERİ A.Ş,True,14,14,0,1,1,0,0,0.07,1,0,1147
NARGIZ ALIYEVA,FATİH VATAN SPOR,FATİH VATAN SPOR / PROLİFT GİRESUN SANAYİSPOR,True,14,14,0,0,0,0,0,0.0,0,0,1260
ELLEN COLEMAN,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,14,10,4,0,0,0,0,0.0,0,0,934
NUR YUNTÜR,FATİH VATAN SPOR,FATİH VATAN SPOR,False,14,5,9,0,0,0,0,0.0,1,0,468
FATMANUR YANTUR,FATİH VATAN SPOR,FATİH VATAN SPOR,False,14,12,2,0,0,0,0,0.0,2,0,1095
ÇAĞLA DOĞAN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,14,12,2,0,0,0,0,0.0,4,0,960
BAŞAK GÜNDOĞDU,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,False,13,1,12,11,10,0,1,0.85,0,0,304
NİHAL SARAÇ,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI,BEŞİKTAŞ JK KADIN FUTBOL TAKIMI / TRABZONSPOR A.Ş.,True,13,9,4,4,1,2,1,0.31,3,1,725
ŞEHRİBAN DÜLEK,FATİH VATAN SPOR,FATİH VATAN SPOR,False,13,13,0,3,1,1,1,0.23,4,0,1170
FATMA SARE ÖZTÜRK,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,13,10,3,2,2,0,0,0.15,0,0,928
GİZEM AYDIN,FATİH VATAN SPOR,FATİH VATAN SPOR,False,13,13,0,1,1,0,0,0.08,0,0,865
İLKNUR ERYOLDAŞ,SERCAN İNŞAAT GAZİANTEP ALG SPOR,SERCAN İNŞAAT GAZİANTEP ALG SPOR / ALG SPOR,True,13,8,5,1,1,0,0,0.08,1,0,830
LYDIA NAYELI RANGEL HERNANDEZ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,13,9,4,1,1,0,0,0.08,1,0,638
DIANA LUCAS MSEWA,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,13,2,11,1,1,0,0,0.08,0,0,398
MEDİNE ERKAN,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,ANKARA BÜYÜKŞEHİR BELEDİYESİ FOMGET SPOR KULÜBÜ,False,13,9,4,0,0,0,0,0.0,0,1,859
ARMERA TUKAJ,TRABZONSPOR A.Ş.,TRABZONSPOR A.Ş.,False,13,4,9,0,0,0,0,0.0,0,0,348
HÜMEYRA ŞANVER,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ / HAKKARİGÜCÜ SPOR,True,13,11,2,0,0,0,0,0.0,2,1,1020
NATALIA MUNTEANU,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,13,13,0,0,0,0,0,0.0,0,0,1170
SERPİL İŞLER,FATİH VATAN SPOR,FATİH VATAN SPOR,False,13,12,1,0,0,0,0,0.0,1,0,1048
MARTA ALEXANDRA COX VILLARREAL,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,12,9,3,7,4,0,3,0.58,1,0,812
OUASSİLA ALOUACHE,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,12,12,0,5,5,0,0,0.42,1,0,1031
ELENA GRACINDA SANTOS,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,FENERBAHÇE ARSAVEV KADIN FUTBOL TAKIMI,False,12,6,6,3,2,1,0,0.25,2,0,489
CANSU İRİŞ,FATİH VATAN SPOR,FATİH VATAN SPOR,False,12,12,0,3,3,0,0,0.25,2,0,1048
OUAFAA HAMRI,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,12,12,0,2,2,0,0,0.17,3,0,1032
NOELA PATRICK LUHALA,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,1207 ANTALYASPOR  KADIN FUTBOL KULÜBÜ,False,12,12,0,2,2,0,0,0.17,2,0,1080
ZOTE NINA KPAHO,PROLİFT GİRESUN SANAYİSPOR,PROLİFT GİRESUN SANAYİSPOR,False,12,12,0,2,2,0,0,0.17,1,0,1080
BERFİN ELİF CEYLAN,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA,False,12,11,1,1,1,0,0,0.08,4,0,965
İREM EREN,GALATASARAY GAIN,GALATASARAY GAIN,False,12,1,11,1,1,0,0,0.08,0,0,217
ALEXANDRA TAKOUNDA ENGOLO,FATİH VATAN SPOR,FATİH VATAN SPOR / PROLİFT GİRESUN SANAYİSPOR,True,12,6,6,1,0,1,0,0.08,1,0,612
AÇELYA NOMAK,FATİH VATAN SPOR,FATİH VATAN SPOR,False,12,12,0,1,1,0,0,0.08,2,0,1079
DUYGU YILMAZ,ÇEKMEKÖY BİLGİDOĞA,ÇEKMEKÖY BİLGİDOĞA / FATİH VATAN SPOR,True,12,12,0,0,0,0,0,0.0,1,0,1071
AYSHAN AHMADOVA,AMED SPORTİF FAALİYETLER,AMED SPORTİF FAALİYETLER,False,12,11,1,0,0,0,0,0.0,2,0,903
JOY EBINEMIERE BOKIRI,ÜNYE KADIN SPOR KULÜBÜ,ÜNYE KADIN SPOR KULÜBÜ,False,12,9,3,0,0,0,0,0.0,1,0,842
AYŞE ŞEVVAL AY,FATİH VATAN SPOR,FATİH VATAN SPOR,False,12,12,0,0,0,0,0,0.0,0,0,1043
